Code,Name,Polling_Districts
2005,DBES OFFICE,LEKGWAPHENG
2006,TENT AT KATSWANE,LEKGWAPHENG
2007,TENT AT MOSOKOTSO KGOTLA,LEKGWAPHENG
2008,KGARI SECHELE SENIOR SECONDARY SCHOOL,LEPHALENG
2009,LEPHALENG PRIMARY SCHOOL,LEPHALENG
2010,BOITSHOKO JUNIOR SECONDARY SCHOOL  ,LEPHALENG
2011,TENT AT MAPAPENG MOBILE HEALTH STOP,LEPHALENG
2012,LEWIS PRIMARY SCHOOL ,NTLOEDIBE
2013,MASILO JUNIOR SECONDARY SCHOOL,NTLOEDIBE
2014,NTLOEDIBE KGOTLA,NTLOEDIBE
2015,TENT AT GAMATHEDI LANDS,NTLOEDIBE
2016,TENT AT RAMAGAPU MOBILE HEALTH STOP,NTLOEDIBE
2017,CHURCH OF GOD IN CHRIST (COGIC),BONEWAMANG
2018,BONEWAMANG PRIMARY SCHOOL,BONEWAMANG
2019,RAMAKGATLENYANE VDC,BONEWAMANG
2020,TENT AT DIAGANE,BONEWAMANG
2021,SEDUMEDI JUNIOR SECONDARY SCHOOL,BONEWAMANG
2022,SEBELE PRIMARY SCHOOL,SEBELE
2023,MAIN KGOTLA,SEBELE
2024,FREE CHURCH,SEBELE
2025,NEAL PRIMARY SCHOOL,LOOLOGA
2026,MAUNATLALA KGOTLA  ,LOOLOGA
2027,FOOD RESOURCES,LOOLOGA
2028,MAGOKOTSWANE PRIMARY SCHOOL,MOKGOPEETSANE
2029,COUNCIL SANITATION OFFICES,MOKGOPEETSANE
2030,TENT AT SEHERELELA LANDS,MOKGOPEETSANE
2031,TENT AT LEGONONO KGOTLA,MOKGOPEETSANE
2032,GAMODUBU PRIMARY SCHOOL,GAMODUBU-MMANOKO
2033,MMANOKO PRIMARY SCHOOL  ,GAMODUBU-MMANOKO
2034,TENT AT SEMARULE VDC HOUSES ,GAMODUBU-MMANOKO
2035,TENT AT STHOLO LANDS,LOSILAKGOKONG-KOTOLANAME
2036,KOTOLAMANE PRIMARY SCHOOL,LOSILAKGOKONG-KOTOLANAME
2037,TENT AT MORABANE VDC HOUSES,LOSILAKGOKONG-KOTOLANAME
2038,MMAMOAGI KGOTLA,LOSILAKGOKONG-KOTOLANAME
2039,TENT AT RATSHERE LANDS,LOSILAKGOKONG-KOTOLANAME
2040,MONNAATHEBE PRIMARY SCHOOL,LOSILAKGOKONG-KOTOLANAME
2041,BORAKALALO PRIMARY SCHOOL,BORAKALALO
2042,BORAKALALO KGOTLA,BORAKALALO
2043,LUTHERAN CHURCH,BORAKALALO
2044,ST. JUSTICE CHURCH,BORAKALALO
2045,TSHEGETSANG JUNIOR SECONDARY SCHOOL,BORIBAMO WEST
2046,BORIBAMO PRIMARY SCHOOL,BORIBAMO WEST
2047,GARANTA KGOTLA,BORIBAMO WEST
2048,TENT AT RANTA OPEN SPACE,BORIBAMO WEST
2049,MORUAKGOMO JUNIOR SECONDARY SCHOOL,BORIBAMO EAST
2050,SUPING PRIMARY SCHOOL,BORIBAMO EAST
2051,PHUTHADIKOBO PRIMARY SCHOOL  ,BORIBAMO EAST
2052,KUTLWANO PRIMARY SCHOOL,BORIBAMO EAST
